	State	City	Area_Feel	Population	Associate_Degree	Bachelor_Degree	Master_Degree	Jobs_Level	Median_Home_Value	Median_Rent	Median_salary	Cost_of_Living	Crime_Safty	Diversity	NightLife	Children_percent	PublicSchool_level	Outdoor_Activity	Weather	Review_ratings	Numberof_reviews
0	City in Texas	Plano	Suburban	279088	26	34	22	99	248800	1196	85085	54	54	99	81	19	99	54	72	40	594
1	City in Texas	Odessa	Suburban	114258	32	13	5	99	124600	974	60619	72	27	90	81	24	36	72	90	30	199
2	City in Tennessee	Clarksville	Suburban	146281	39	17	8	63	140000	895	48675	72	36	90	81	24	81	54	54	35	349
3	City in Kansas	Topeka	Suburban	127472	31	17	10	63	99400	724	43740	81	36	90	81	20	72	72	63	35	249
4	City in Texas	Abilene	Suburban	122612	31	15	7	72	101500	816	44108	72	36	90	81	20	72	27	90	35	288
5	City in Kentucky	Lexington	Suburban	311529	28	24	18	81	170800	793	50661	63	36	81	81	18	72	72	54	35	565
6	City in North Carolina	Raleigh	Suburban	441326	26	32	17	81	218200	966	58641	63	45	99	81	19	90	81	63	40	770
7	City in Texas	Wichita Falls	Suburban	105013	32	16	8	72	94300	747	43997	81	45	90	81	19	63	36	81	35	212
8	City in Iowa	Davenport	Suburban	102305	32	18	9	63	122700	715	48191	81	36	81	81	20	45	81	54	35	180
9	City in Arizona	Tempe	Suburban	174708	33	26	17	63	219900	985	50474	45	45	90	90	13	81	81	99	40	664
10	City in Illinois	Elgin	Suburban	111919	28	16	8	63	166500	991	60375	54	54	99	72	23	72	90	45	35	256
11	City in California	Temecula	Suburban	108965	40	21	11	63	360500	1629	83840	27	54	90	72	23	90	90	90	40	320
12	City in Washington	Vancouver	Suburban	169982	38	17	9	63	217200	986	52004	45	45	81	72	19	45	90	63	40	198
13	City in District of Columbia	Washington, D.C.	Urban	659009	17	23	32	45	506100	1362	72935	36	27	99	90	15	63	90	63	40	340
14	City in California	San Bernardino	Suburban	214581	29	8	3	27	176800	947	38456	36	27	90	81	25	36	90	99	35	84
15	City in Connecticut	Bridgeport	Urban	147022	26	11	7	27	168200	1111	43137	27	27	99	81	20	27	90	54	30	335
20	City in Connecticut	Hartford	Urban	124320	25	10	7	18	159100	914	32095	36	27	99	90	21	27	90	45	35	78
21	City in Connecticut	New Haven	Urban	130405	19	15	19	27	190700	1121	38126	27	27	99	90	19	27	90	45	40	39
22	City in California	Santa Ana	Urban	333605	21	9	3	36	383900	1354	54062	18	45	72	81	23	54	99	99	40	205
23	City in California	Salinas	Urban	155889	25	8	4	36	303800	1177	52338	27	27	81	72	26	36	99	99	30	262
24	City in Massachusetts	Boston	Urban	658279	18	26	21	45	423200	1369	58516	27	36	99	90	14	18	99	54	40	388
25	City in California	Oxnard	Urban	204752	28	12	5	27	362900	1396	61709	18	36	81	81	24	54	99	99	35	367
26	City in California	Los Angeles	Urban	3918872	24	21	11	36	496300	1241	51538	18	36	99	81	18	45	99	99	40	532
27	City in California	Anaheim	Urban	346776	28	18	7	36	457600	1402	61826	9	45	99	81	21	54	99	99	40	161
28	City in Rhode Island	Providence	Urban	178851	21	16	14	27	173800	917	37366	36	36	99	90	19	36	90	54	40	82
