	Area_Feel	Associate_Degree	Bachelor_Degree	Children_percent	City	Cost_of_Living	Crime_Safty	Diversity	Jobs_Level	Master_Degree	Median_Home_Value	Median_Rent	Median_salary	NightLife	Numberof_reviews	Outdoor_Activity	Population	PublicSchool_level	Review_ratings	State	Weather
0	Suburban	26	34	19	Plano	54	54	99	99	22	248800	1196	85085	81	594	54	279088	99	40	City in Texas	72
1	Suburban	32	13	24	Odessa	72	27	90	99	5	124600	974	60619	81	199	72	114258	36	30	City in Texas	90
2	Suburban	39	17	24	Clarksville	72	36	90	63	8	140000	895	48675	81	349	54	146281	81	35	City in Tennessee	54
3	Suburban	31	17	20	Topeka	81	36	90	63	10	99400	724	43740	81	249	72	127472	72	35	City in Kansas	63
4	Suburban	31	15	20	Abilene	72	36	90	72	7	101500	816	44108	81	288	27	122612	72	35	City in Texas	90
5	Suburban	28	24	18	Lexington	63	36	81	81	18	170800	793	50661	81	565	72	311529	72	35	City in Kentucky	54
6	Suburban	26	32	19	Raleigh	63	45	99	81	17	218200	966	58641	81	770	81	441326	90	40	City in North Carolina	63
7	Suburban	32	16	19	Wichita Falls	81	45	90	72	8	94300	747	43997	81	212	36	105013	63	35	City in Texas	81
8	Suburban	32	18	20	Davenport	81	36	81	63	9	122700	715	48191	81	180	81	102305	45	35	City in Iowa	54
9	Suburban	33	26	13	Tempe	45	45	90	63	17	219900	985	50474	90	664	81	174708	81	40	City in Arizona	99
10	Suburban	28	16	23	Elgin	54	54	99	63	8	166500	991	60375	72	256	90	111919	72	35	City in Illinois	45
11	Suburban	40	21	23	Temecula	27	54	90	63	11	360500	1629	83840	72	320	90	108965	90	40	City in California	90
12	Suburban	38	17	19	Vancouver	45	45	81	63	9	217200	986	52004	72	198	90	169982	45	40	City in Washington	63
13	Urban	17	23	15	Washington, D.C.	36	27	99	45	32	506100	1362	72935	90	340	90	659009	63	40	City in District of Columbia	63
14	Suburban	29	8	25	San Bernardino	36	27	90	27	3	176800	947	38456	81	84	90	214581	36	35	City in California	99
15	Urban	26	11	20	Bridgeport	27	27	99	27	7	168200	1111	43137	81	335	90	147022	27	30	City in Connecticut	54
20	Urban	25	10	21	Hartford	36	27	99	18	7	159100	914	32095	90	78	90	124320	27	35	City in Connecticut	45
21	Urban	19	15	19	New Haven	27	27	99	27	19	190700	1121	38126	90	39	90	130405	27	40	City in Connecticut	45
22	Urban	21	9	23	Santa Ana	18	45	72	36	3	383900	1354	54062	81	205	99	333605	54	40	City in California	99
23	Urban	25	8	26	Salinas	27	27	81	36	4	303800	1177	52338	72	262	99	155889	36	30	City in California	99
24	Urban	18	26	14	Boston	27	36	99	45	21	423200	1369	58516	90	388	99	658279	18	40	City in Massachusetts	54
25	Urban	28	12	24	Oxnard	18	36	81	27	5	362900	1396	61709	81	367	99	204752	54	35	City in California	99
26	Urban	24	21	18	Los Angeles	18	36	99	36	11	496300	1241	51538	81	532	99	3918872	45	40	City in California	99
27	Urban	28	18	21	Anaheim	9	45	99	36	7	457600	1402	61826	81	161	99	346776	54	40	City in California	99
28	Urban	21	16	19	Providence	36	36	99	27	14	173800	917	37366	90	82	90	178851	36	40	City in Rhode Island	54
29	Urban	19	15	15	Miami	36	27	81	36	10	241200	995	31642	90	559	90	432622	54	40	City in Florida	90
30	Suburban	27	9	27	Santa Maria	27	36	81	36	4	276800	1205	51939	72	187	90	103642	36	35	City in California	99
31	Suburban	28	11	22	Springfield	45	27	99	27	7	146400	839	35742	81	304	90	153991	27	30	City in Massachusetts	45
32	Suburban	21	26	18	Stamford	18	54	99	36	21	504200	1656	81634	81	64	90	127410	63	40	City in Connecticut	45
33	Urban	25	22	17	Oakland	18	27	99	45	17	500500	1189	57778	90	182	99	412040	45	40	City in California	99
34	Suburban	31	22	18	Orange	9	54	99	45	12	565800	1581	79192	81	192	99	139919	63	40	City in California	99
35	Urban	18	26	18	Jersey City	27	36	99	45	18	331300	1233	60703	81	128	90	261666	54	40	City in New Jersey	54
36	Suburban	29	19	19	Hayward	18	36	99	45	7	404500	1417	68138	72	107	99	154507	45	40	City in California	99
37	Urban	21	21	18	New York City	27	45	99	45	15	508900	1294	55191	90	653	99	8461961	72	45	City in New York	54
38	Urban	30	26	17	Costa Mesa	9	45	90	45	11	637200	1641	70438	90	73	99	112439	81	45	City in California	99
39	Urban	31	19	20	Long Beach	18	36	99	36	11	448800	1150	55151	81	369	99	469793	72	40	City in California	99
40	Urban	25	24	20	San Jose	18	45	99	54	16	658000	1689	90303	81	457	99	1009363	72	40	City in California	99
41	Suburban	35	20	19	Santa Rosa	18	45	90	45	11	414800	1371	62705	72	294	99	173165	72	35	City in California	99
42	Suburban	37	21	19	Ventura	18	45	90	45	13	459300	1453	70541	81	83	90	109067	81	40	City in California	99
44	Urban	26	10	22	Allentown	45	36	90	36	5	126100	907	37256	81	117	90	119624	27	35	City in Pennsylvania	45
45	Suburban	38	18	17	Vallejo	27	27	99	36	6	254100	1250	59600	81	250	90	119644	9	30	City in California	99
46	Suburban	29	11	23	Ontario	27	45	81	36	4	293000	1296	54896	81	367	90	169389	54	35	City in California	99
47	Urban	29	15	22	Milwaukee	63	27	99	36	8	115500	798	36801	90	236	90	598672	27	35	City in Wisconsin	36
48	Urban	23	27	16	Pasadena	18	45	99	54	23	649800	1421	73029	81	97	90	140268	63	45	City in California	99
49	Suburban	33	8	21	Detroit	72	18	72	27	6	41000	754	26249	81	864	81	683443	27	35	City in Michigan	45
50	Urban	27	25	15	Glendale	18	54	90	45	14	639700	1355	56069	81	85	90	197895	90	45	City in California	99
51	Suburban	25	22	16	Richmond	54	36	90	36	15	199300	916	41187	90	260	90	216773	36	40	City in Virginia	72
52	Urban	30	28	16	Burbank	9	54	90	45	12	611000	1446	67317	81	228	99	104583	90	40	City in California	99
53	Suburban	24	18	17	Worcester	36	36	90	45	11	206500	975	45599	90	70	90	183677	63	40	City in Massachusetts	45
54	Suburban	35	23	15	Eugene	27	45	72	45	17	246400	921	44859	81	586	90	161649	72	35	City in Oregon	90
55	Urban	20	33	12	San Francisco	18	27	99	72	22	858800	1632	87701	90	372	99	850282	81	45	City in California	99
56	Suburban	29	10	19	Cleveland	72	27	90	27	6	67500	660	26583	81	341	90	389165	27	40	City in Ohio	27
57	Suburban	28	26	17	San Diego	18	45	99	45	18	488600	1427	68117	81	331	90	1374812	90	45	City in California	99
58	Suburban	28	19	16	Manchester	36	36	72	54	9	207200	1029	54899	81	215	90	110231	36	35	City in New Hampshire	36
59	Suburban	32	14	25	Fresno	36	36	99	36	7	187500	901	41842	81	836	63	513807	54	35	City in California	99
60	Suburban	31	17	18	Savannah	54	36	90	45	11	145100	913	37108	81	413	63	144717	27	35	City in Georgia	72
61	Suburban	34	16	18	Norfolk	54	36	99	27	11	193100	980	45268	90	189	81	245724	45	35	City in Virginia	72
62	Urban	29	14	20	Rochester	54	27	99	36	10	77800	779	31684	90	207	90	210291	36	40	City in New York	27
63	Suburban	27	22	15	Fort Lauderdale	45	36	99	45	13	273400	1135	51648	81	195	90	175153	54	40	City in Florida	90
64	Suburban	24	20	15	Athens	54	45	90	45	20	152600	799	32959	90	380	81	120813	45	40	City in Georgia	63
66	Urban	21	31	18	Santa Clara	18	54	99	63	26	734500	1917	102533	81	146	90	122725	81	35	City in California	99
67	Suburban	40	15	19	Everett	36	36	90	54	6	242200	1018	50933	81	80	72	106580	63	35	City in Washington	54
68	Urban	29	31	17	Torrance	18	54	99	54	16	652600	1512	80862	81	131	99	147307	90	40	City in California	99
69	Urban	24	16	18	Baltimore	54	27	90	36	14	153000	974	44262	90	400	90	621000	36	35	City in Maryland	54
70	Suburban	32	12	24	Stockton	45	27	99	36	6	191000	967	46033	72	595	90	301443	54	30	City in California	99
71	Suburban	37	7	27	Victorville	45	36	99	45	5	158900	1154	45895	72	305	90	121320	27	30	City in California	81
72	Suburban	29	29	18	Thousand Oaks	18	63	90	54	21	637100	1896	101045	72	254	99	128623	99	40	City in California	99
73	Suburban	29	32	19	Carlsbad	18	54	81	54	24	674400	1830	97145	72	243	90	112008	99	45	City in California	99
74	Suburban	27	21	17	New Orleans	45	27	90	45	15	197000	929	37488	81	296	54	382922	63	40	City in Louisiana	63
75	Suburban	31	13	20	Riverside	27	36	99	45	9	286600	1194	58979	81	206	90	318678	54	40	City in California	99
76	Suburban	28	15	16	Pompano Beach	54	36	99	45	8	165300	1099	42641	81	178	90	106004	45	35	City in Florida	90
77	Urban	23	15	19	Philadelphia	54	27	99	36	11	147300	943	39770	90	852	90	1559938	36	40	City in Pennsylvania	54
78	Suburban	32	19	20	Sacramento	36	36	99	45	11	259400	1057	52071	81	311	90	484530	63	40	City in California	99
79	Urban	28	15	18	Syracuse	54	27	99	45	12	89900	737	32704	90	290	90	144350	54	35	City in New York	18
80	Suburban	26	28	14	College Station	45	54	90	63	28	192700	904	36471	90	507	81	104684	90	40	City in Texas	72
81	Suburban	36	18	21	Fairfield	27	36	99	45	7	305400	1359	69396	81	202	90	110953	63	35	City in California	99
82	Suburban	34	18	18	Tacoma	45	27	90	54	9	212400	980	53553	81	208	90	205602	63	40	City in Washington	54
83	Suburban	33	18	21	Corona	27	54	99	54	9	378500	1426	72309	72	476	90	161614	81	35	City in California	99
84	Suburban	28	22	11	Gainesville	54	36	90	54	22	143900	858	32716	90	672	90	128610	72	40	City in Florida	81
85	Suburban	27	21	16	West Palm Beach	45	27	99	63	12	198100	1096	46672	81	237	63	104978	36	40	City in Florida	90
86	Suburban	35	17	21	Kent	36	45	99	54	7	262800	1097	61033	81	95	99	125492	63	35	City in Washington	63
87	Suburban	21	39	19	Irvine	9	63	99	63	29	718800	1997	93823	81	188	99	246992	99	45	City in California	99
88	Suburban	39	15	18	Hampton	54	45	90	36	9	187700	1032	49890	81	125	90	136789	45	40	City in Virginia	72
89	Suburban	31	27	15	Wilmington	54	27	81	45	14	224300	872	43855	81	295	90	113724	81	40	City in North Carolina	72
90	Suburban	22	27	16	Atlanta	54	27	90	54	21	222300	998	49398	90	536	90	456378	45	40	City in Georgia	72
91	Suburban	36	12	21	Modesto	45	27	99	36	6	208000	1034	50996	72	363	90	208512	54	30	City in California	99
92	Suburban	29	28	16	Portland	27	36	81	54	19	319400	1025	58423	90	544	99	620589	72	40	City in Oregon	63
93	Urban	23	36	13	Seattle	27	36	90	63	25	484600	1266	74458	90	375	99	668849	81	45	City in Washington	63
94	Urban	18	30	20	Sunnyvale	18	54	99	72	31	859100	1949	109799	90	165	99	149596	90	40	City in California	99
95	Suburban	29	26	14	Tallahassee	54	27	90	45	22	182200	931	40947	90	832	90	188466	63	35	City in Florida	72
96	Suburban	36	11	19	Dayton	81	27	90	36	7	66600	636	28745	81	143	81	141143	36	35	City in Ohio	54
97	Suburban	32	13	21	Rockford	72	27	90	36	9	91400	719	40143	81	273	90	149597	54	30	City in Illinois	45
98	Suburban	32	15	22	Jackson	72	27	72	36	11	89500	767	32866	72	276	63	172039	27	30	City in Mississippi	63
99	Suburban	35	17	21	Salem	45	45	90	54	10	188900	819	49126	81	288	90	161975	45	35	City in Oregon	63
100	Urban	17	33	10	Berkeley	18	45	99	63	39	795200	1434	70393	90	79	99	118585	99	40	City in California	99
101	Suburban	37	12	19	Pueblo	54	27	90	36	7	116800	751	35770	81	309	81	108385	45	30	City in Colorado	81
102	Suburban	35	15	18	Tucson	54	36	90	45	10	132200	772	37973	81	802	90	527586	54	40	City in Arizona	99
103	Suburban	32	16	18	Birmingham	72	27	81	36	9	87100	744	32404	81	196	54	212424	27	40	City in Alabama	63
104	Suburban	26	25	18	Salt Lake City	36	36	90	63	19	248700	844	50353	90	365	99	191446	54	40	City in Utah	72
107	Suburban	30	23	18	Orlando	54	27	99	54	12	172100	1040	44007	81	849	90	263306	63	45	City in Florida	90
108	Suburban	30	15	21	Memphis	63	27	90	36	10	93700	842	36975	81	685	63	655857	45	35	City in Tennessee	63
109	Suburban	29	19	17	St. Louis	72	18	90	36	14	120900	759	36809	90	198	81	316030	27	35	City in Missouri	54
110	Suburban	23	28	18	Denver	36	36	90	72	18	292700	1035	56258	90	474	90	663303	54	45	City in Colorado	72
111	Suburban	37	15	20	Newport News	54	36	99	45	10	189000	972	50089	81	179	81	181606	63	35	City in Virginia	72
112	Suburban	20	37	18	Sandy Springs	36	54	90	63	23	421600	1083	68629	81	140	90	102212	81	40	City in Georgia	72
113	Suburban	34	19	16	Clearwater	54	36	81	54	9	163500	970	44569	81	232	90	111747	45	40	City in Florida	90
114	Urban	17	29	16	Alexandria	36	54	99	63	33	520700	1611	89200	90	141	90	151473	90	45	City in Virginia	63
115	Suburban	27	20	19	Cincinnati	72	27	90	45	14	120300	662	34629	90	297	90	298011	63	40	City in Ohio	45
116	Suburban	28	19	18	Baton Rouge	63	27	90	54	13	158400	797	39969	81	257	54	228694	36	35	City in Louisiana	63
118	Suburban	37	16	20	Lansing	72	27	90	54	9	75500	763	36851	81	183	90	114773	36	35	City in Michigan	45
119	Suburban	33	19	20	Jacksonville	63	36	90	63	8	140000	955	48256	81	658	63	856616	27	40	City in Florida	72
