	Area_Feel	Associate_Degree	Bachelor_Degree	Children_percent	City	Cost_of_Living	Crime_Safty	Diversity	Jobs_Level	Master_Degree	Median_Home_Value	Median_Rent	Median_salary	NightLife	Numberof_reviews	Outdoor_Activity	Population	PublicSchool_level	Review_ratings	State	Weather
0	Suburban	26	34	19	Plano	80	80	97	97	22	248800	1196	85085	90	594	80	279088	97	40	City in Texas	87
1	Suburban	32	13	24	Odessa	87	70	93	97	5	124600	974	60619	90	199	87	114258	73	30	City in Texas	93
2	Suburban	39	17	24	Clarksville	87	73	93	83	8	140000	895	48675	90	349	80	146281	90	35	City in Tennessee	80
3	Suburban	31	17	20	Topeka	90	73	93	83	10	99400	724	43740	90	249	87	127472	87	35	City in Kansas	83
4	Suburban	31	15	20	Abilene	87	73	93	87	7	101500	816	44108	90	288	70	122612	87	35	City in Texas	93
5	Suburban	28	24	18	Lexington	83	73	90	90	18	170800	793	50661	90	565	87	311529	87	35	City in Kentucky	80
6	Suburban	26	32	19	Raleigh	83	77	97	90	17	218200	966	58641	90	770	90	441326	93	40	City in North Carolina	83
7	Suburban	32	16	19	Wichita Falls	90	77	93	87	8	94300	747	43997	90	212	73	105013	83	35	City in Texas	90
8	Suburban	32	18	20	Davenport	90	73	90	83	9	122700	715	48191	90	180	90	102305	77	35	City in Iowa	80
9	Suburban	33	26	13	Tempe	77	77	93	83	17	219900	985	50474	93	664	90	174708	90	40	City in Arizona	97
10	Suburban	28	16	23	Elgin	80	80	97	83	8	166500	991	60375	87	256	93	111919	87	35	City in Illinois	77
11	Suburban	40	21	23	Temecula	70	80	93	83	11	360500	1629	83840	87	320	93	108965	93	40	City in California	93
12	Suburban	38	17	19	Vancouver	77	77	90	83	9	217200	986	52004	87	198	93	169982	77	40	City in Washington	83
13	Urban	17	23	15	Washington, D.C.	73	70	97	77	32	506100	1362	72935	93	340	93	659009	83	40	City in District of Columbia	83
14	Suburban	29	8	25	San Bernardino	73	70	93	70	3	176800	947	38456	90	84	93	214581	73	35	City in California	97
15	Urban	26	11	20	Bridgeport	70	70	97	70	7	168200	1111	43137	90	335	93	147022	70	30	City in Connecticut	80
20	Urban	25	10	21	Hartford	73	70	97	67	7	159100	914	32095	93	78	93	124320	70	35	City in Connecticut	77
21	Urban	19	15	19	New Haven	70	70	97	70	19	190700	1121	38126	93	39	93	130405	70	40	City in Connecticut	77
22	Urban	21	9	23	Santa Ana	67	77	87	73	3	383900	1354	54062	90	205	97	333605	80	40	City in California	97
23	Urban	25	8	26	Salinas	70	70	90	73	4	303800	1177	52338	87	262	97	155889	73	30	City in California	97
24	Urban	18	26	14	Boston	70	73	97	77	21	423200	1369	58516	93	388	97	658279	67	40	City in Massachusetts	80
25	Urban	28	12	24	Oxnard	67	73	90	70	5	362900	1396	61709	90	367	97	204752	80	35	City in California	97
26	Urban	24	21	18	Los Angeles	67	73	97	73	11	496300	1241	51538	90	532	97	3918872	77	40	City in California	97
27	Urban	28	18	21	Anaheim	63	77	97	73	7	457600	1402	61826	90	161	97	346776	80	40	City in California	97
28	Urban	21	16	19	Providence	73	73	97	70	14	173800	917	37366	93	82	93	178851	73	40	City in Rhode Island	80
29	Urban	19	15	15	Miami	73	70	90	73	10	241200	995	31642	93	559	93	432622	80	40	City in Florida	93
